,parent,child
0,http://id.nlm.nih.gov/mesh/D000602,http://id.nlm.nih.gov/mesh/D000596
1,http://id.nlm.nih.gov/mesh/D000596,http://id.nlm.nih.gov/mesh/D000598
2,http://id.nlm.nih.gov/mesh/D000598,http://id.nlm.nih.gov/mesh/D024322
3,http://id.nlm.nih.gov/mesh/D024322,http://id.nlm.nih.gov/mesh/D014443
4,http://id.nlm.nih.gov/mesh/D014443,http://id.nlm.nih.gov/mesh/D004295
5,http://id.nlm.nih.gov/mesh/D004295,http://id.nlm.nih.gov/mesh/D007980
6,http://id.nlm.nih.gov/mesh/D000602,http://id.nlm.nih.gov/mesh/D000596
7,http://id.nlm.nih.gov/mesh/D000596,http://id.nlm.nih.gov/mesh/D000598
8,http://id.nlm.nih.gov/mesh/D000598,http://id.nlm.nih.gov/mesh/D024322
9,http://id.nlm.nih.gov/mesh/D024322,http://id.nlm.nih.gov/mesh/D010649
10,http://id.nlm.nih.gov/mesh/D010649,http://id.nlm.nih.gov/mesh/D004295
11,http://id.nlm.nih.gov/mesh/D004295,http://id.nlm.nih.gov/mesh/D007980
