,parent,child
0,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D014118
1,http://id.nlm.nih.gov/mesh/D014118,http://id.nlm.nih.gov/mesh/D009183
2,http://id.nlm.nih.gov/mesh/D009183,http://id.nlm.nih.gov/mesh/D003572
3,http://id.nlm.nih.gov/mesh/D003572,http://id.nlm.nih.gov/mesh/D015638
4,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D014118
5,http://id.nlm.nih.gov/mesh/D014118,http://id.nlm.nih.gov/mesh/D009183
6,http://id.nlm.nih.gov/mesh/D009183,http://id.nlm.nih.gov/mesh/D002953
7,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D010860
8,http://id.nlm.nih.gov/mesh/D010860,http://id.nlm.nih.gov/mesh/D002338
9,http://id.nlm.nih.gov/mesh/D002338,http://id.nlm.nih.gov/mesh/D012176
10,http://id.nlm.nih.gov/mesh/D012176,http://id.nlm.nih.gov/mesh/D015474
11,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D010860
12,http://id.nlm.nih.gov/mesh/D010860,http://id.nlm.nih.gov/mesh/D002338
13,http://id.nlm.nih.gov/mesh/D002338,http://id.nlm.nih.gov/mesh/D012176
14,http://id.nlm.nih.gov/mesh/D012176,http://id.nlm.nih.gov/mesh/D014212
15,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D014118
16,http://id.nlm.nih.gov/mesh/D014118,http://id.nlm.nih.gov/mesh/D009183
17,http://id.nlm.nih.gov/mesh/D009183,http://id.nlm.nih.gov/mesh/D000348
18,http://id.nlm.nih.gov/mesh/D000348,http://id.nlm.nih.gov/mesh/D016604
