,parent,child
0,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D014118
1,http://id.nlm.nih.gov/mesh/D014118,http://id.nlm.nih.gov/mesh/D009183
2,http://id.nlm.nih.gov/mesh/D009183,http://id.nlm.nih.gov/mesh/D002953
3,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D010860
4,http://id.nlm.nih.gov/mesh/D010860,http://id.nlm.nih.gov/mesh/D002338
5,http://id.nlm.nih.gov/mesh/D002338,http://id.nlm.nih.gov/mesh/D012176
6,http://id.nlm.nih.gov/mesh/D012176,http://id.nlm.nih.gov/mesh/D015474
7,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D014118
8,http://id.nlm.nih.gov/mesh/D014118,http://id.nlm.nih.gov/mesh/D009183
9,http://id.nlm.nih.gov/mesh/D009183,http://id.nlm.nih.gov/mesh/D003572
10,http://id.nlm.nih.gov/mesh/D003572,http://id.nlm.nih.gov/mesh/D015638
11,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D014118
12,http://id.nlm.nih.gov/mesh/D014118,http://id.nlm.nih.gov/mesh/D009183
13,http://id.nlm.nih.gov/mesh/D009183,http://id.nlm.nih.gov/mesh/D000348
14,http://id.nlm.nih.gov/mesh/D000348,http://id.nlm.nih.gov/mesh/D016604
15,http://id.nlm.nih.gov/mesh/D001685,http://id.nlm.nih.gov/mesh/D010860
16,http://id.nlm.nih.gov/mesh/D010860,http://id.nlm.nih.gov/mesh/D002338
17,http://id.nlm.nih.gov/mesh/D002338,http://id.nlm.nih.gov/mesh/D012176
18,http://id.nlm.nih.gov/mesh/D012176,http://id.nlm.nih.gov/mesh/D014212
