,parent,child
0,http://id.nlm.nih.gov/mesh/D001697,http://id.nlm.nih.gov/mesh/D011108
1,http://id.nlm.nih.gov/mesh/D011108,http://id.nlm.nih.gov/mesh/D010969
2,http://id.nlm.nih.gov/mesh/D010969,http://id.nlm.nih.gov/mesh/D011145
3,http://id.nlm.nih.gov/mesh/D011145,http://id.nlm.nih.gov/mesh/D011205
4,http://id.nlm.nih.gov/mesh/D011205,http://id.nlm.nih.gov/mesh/D011206
5,http://id.nlm.nih.gov/mesh/D001697,http://id.nlm.nih.gov/mesh/D003764
6,http://id.nlm.nih.gov/mesh/D003764,http://id.nlm.nih.gov/mesh/D003738
7,http://id.nlm.nih.gov/mesh/D003738,http://id.nlm.nih.gov/mesh/D015036
8,http://id.nlm.nih.gov/mesh/D001697,http://id.nlm.nih.gov/mesh/D002327
9,http://id.nlm.nih.gov/mesh/D002327,http://id.nlm.nih.gov/mesh/D012969
10,http://id.nlm.nih.gov/mesh/D001697,http://id.nlm.nih.gov/mesh/D011108
11,http://id.nlm.nih.gov/mesh/D011108,http://id.nlm.nih.gov/mesh/D010969
12,http://id.nlm.nih.gov/mesh/D010969,http://id.nlm.nih.gov/mesh/D012117
13,http://id.nlm.nih.gov/mesh/D012117,http://id.nlm.nih.gov/mesh/D000180
14,http://id.nlm.nih.gov/mesh/D000180,http://id.nlm.nih.gov/mesh/D011109
15,http://id.nlm.nih.gov/mesh/D011109,http://id.nlm.nih.gov/mesh/D008768
16,http://id.nlm.nih.gov/mesh/D008768,http://id.nlm.nih.gov/mesh/D020366
