,parent,child
0,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
1,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D014227
2,http://id.nlm.nih.gov/mesh/D014227,http://id.nlm.nih.gov/mesh/D012839
3,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
4,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D005663
5,http://id.nlm.nih.gov/mesh/D005663,http://id.nlm.nih.gov/mesh/D005662
6,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
7,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
8,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D011687
9,http://id.nlm.nih.gov/mesh/D011687,http://id.nlm.nih.gov/mesh/D011688
10,http://id.nlm.nih.gov/mesh/D011688,http://id.nlm.nih.gov/mesh/D014970
11,http://id.nlm.nih.gov/mesh/D014970,http://id.nlm.nih.gov/mesh/D002110
12,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000470
13,http://id.nlm.nih.gov/mesh/D000470,http://id.nlm.nih.gov/mesh/D014970
14,http://id.nlm.nih.gov/mesh/D014970,http://id.nlm.nih.gov/mesh/D002110
15,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
16,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D001393
17,http://id.nlm.nih.gov/mesh/D001393,http://id.nlm.nih.gov/mesh/D013844
18,http://id.nlm.nih.gov/mesh/D013844,http://id.nlm.nih.gov/mesh/D013827
19,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
20,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
21,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D001562
22,http://id.nlm.nih.gov/mesh/D001562,http://id.nlm.nih.gov/mesh/D013827
23,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
24,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
25,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D001562
