,parent,child
0,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
1,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D005663
2,http://id.nlm.nih.gov/mesh/D005663,http://id.nlm.nih.gov/mesh/D009581
3,http://id.nlm.nih.gov/mesh/D009581,http://id.nlm.nih.gov/mesh/D009583
4,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
5,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D001381
6,http://id.nlm.nih.gov/mesh/D001381,http://id.nlm.nih.gov/mesh/D002209
7,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
8,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011743
9,http://id.nlm.nih.gov/mesh/D011743,http://id.nlm.nih.gov/mesh/D014295
10,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
11,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011714
12,http://id.nlm.nih.gov/mesh/D011714,http://id.nlm.nih.gov/mesh/D001578
13,http://id.nlm.nih.gov/mesh/D001578,http://id.nlm.nih.gov/mesh/D002953
14,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
15,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
16,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D054833
17,http://id.nlm.nih.gov/mesh/D054833,http://id.nlm.nih.gov/mesh/D010797
18,http://id.nlm.nih.gov/mesh/D010797,http://id.nlm.nih.gov/mesh/D010706
19,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
20,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
21,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D011804
22,http://id.nlm.nih.gov/mesh/D011804,http://id.nlm.nih.gov/mesh/D015363
23,http://id.nlm.nih.gov/mesh/D015363,http://id.nlm.nih.gov/mesh/D024841
24,http://id.nlm.nih.gov/mesh/D024841,http://id.nlm.nih.gov/mesh/D015242
25,http://id.nlm.nih.gov/mesh/D015242,http://id.nlm.nih.gov/mesh/D064704
26,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
27,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
28,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D047090
29,http://id.nlm.nih.gov/mesh/D047090,http://id.nlm.nih.gov/mesh/D010406
30,http://id.nlm.nih.gov/mesh/D010406,http://id.nlm.nih.gov/mesh/D010400
31,http://id.nlm.nih.gov/mesh/D010400,http://id.nlm.nih.gov/mesh/D000667
32,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
33,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D014227
34,http://id.nlm.nih.gov/mesh/D014227,http://id.nlm.nih.gov/mesh/D011400
35,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
36,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D001393
37,http://id.nlm.nih.gov/mesh/D001393,http://id.nlm.nih.gov/mesh/D013844
38,http://id.nlm.nih.gov/mesh/D013844,http://id.nlm.nih.gov/mesh/D000077922
39,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
40,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D001393
41,http://id.nlm.nih.gov/mesh/D001393,http://id.nlm.nih.gov/mesh/D014230
42,http://id.nlm.nih.gov/mesh/D014230,http://id.nlm.nih.gov/mesh/D000640
43,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
44,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
45,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D054833
46,http://id.nlm.nih.gov/mesh/D054833,http://id.nlm.nih.gov/mesh/D002215
47,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
48,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
49,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D001578
50,http://id.nlm.nih.gov/mesh/D001578,http://id.nlm.nih.gov/mesh/D002867
51,http://id.nlm.nih.gov/mesh/D002867,http://id.nlm.nih.gov/mesh/D005419
52,http://id.nlm.nih.gov/mesh/D005419,http://id.nlm.nih.gov/mesh/D007529
53,http://id.nlm.nih.gov/mesh/D007529,http://id.nlm.nih.gov/mesh/D019833
54,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
55,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D005663
56,http://id.nlm.nih.gov/mesh/D005663,http://id.nlm.nih.gov/mesh/D005662
57,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
58,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011725
59,http://id.nlm.nih.gov/mesh/D011725,http://id.nlm.nih.gov/mesh/D007539
60,http://id.nlm.nih.gov/mesh/D007539,http://id.nlm.nih.gov/mesh/D007538
61,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
62,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D005663
63,http://id.nlm.nih.gov/mesh/D005663,http://id.nlm.nih.gov/mesh/D008299
64,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
65,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
66,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D011687
67,http://id.nlm.nih.gov/mesh/D011687,http://id.nlm.nih.gov/mesh/D011688
68,http://id.nlm.nih.gov/mesh/D011688,http://id.nlm.nih.gov/mesh/D014970
69,http://id.nlm.nih.gov/mesh/D014970,http://id.nlm.nih.gov/mesh/D002110
70,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
71,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D014227
72,http://id.nlm.nih.gov/mesh/D014227,http://id.nlm.nih.gov/mesh/D012839
73,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
74,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
75,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D001562
76,http://id.nlm.nih.gov/mesh/D001562,http://id.nlm.nih.gov/mesh/D008463
77,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
78,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011759
79,http://id.nlm.nih.gov/mesh/D011759,http://id.nlm.nih.gov/mesh/D011760
80,http://id.nlm.nih.gov/mesh/D011760,http://id.nlm.nih.gov/mesh/D003367
81,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
82,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006575
83,http://id.nlm.nih.gov/mesh/D006575,http://id.nlm.nih.gov/mesh/D010640
84,http://id.nlm.nih.gov/mesh/D010640,http://id.nlm.nih.gov/mesh/D008751
85,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
86,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011725
87,http://id.nlm.nih.gov/mesh/D011725,http://id.nlm.nih.gov/mesh/D011726
88,http://id.nlm.nih.gov/mesh/D011726,http://id.nlm.nih.gov/mesh/D010269
89,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
90,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011725
91,http://id.nlm.nih.gov/mesh/D011725,http://id.nlm.nih.gov/mesh/D004206
92,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
93,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D011725
94,http://id.nlm.nih.gov/mesh/D011725,http://id.nlm.nih.gov/mesh/D009539
95,http://id.nlm.nih.gov/mesh/D009539,http://id.nlm.nih.gov/mesh/D009536
96,http://id.nlm.nih.gov/mesh/D009536,http://id.nlm.nih.gov/mesh/D015120
97,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
98,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
99,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D047090
100,http://id.nlm.nih.gov/mesh/D047090,http://id.nlm.nih.gov/mesh/D010406
101,http://id.nlm.nih.gov/mesh/D010406,http://id.nlm.nih.gov/mesh/D010400
102,http://id.nlm.nih.gov/mesh/D010400,http://id.nlm.nih.gov/mesh/D000667
103,http://id.nlm.nih.gov/mesh/D000667,http://id.nlm.nih.gov/mesh/D000658
104,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
105,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
106,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D007211
107,http://id.nlm.nih.gov/mesh/D007211,http://id.nlm.nih.gov/mesh/D003572
108,http://id.nlm.nih.gov/mesh/D003572,http://id.nlm.nih.gov/mesh/D015638
109,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
110,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D001393
111,http://id.nlm.nih.gov/mesh/D001393,http://id.nlm.nih.gov/mesh/D013844
112,http://id.nlm.nih.gov/mesh/D013844,http://id.nlm.nih.gov/mesh/D052160
113,http://id.nlm.nih.gov/mesh/D052160,http://id.nlm.nih.gov/mesh/D012439
114,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D006573
115,http://id.nlm.nih.gov/mesh/D006573,http://id.nlm.nih.gov/mesh/D001393
116,http://id.nlm.nih.gov/mesh/D001393,http://id.nlm.nih.gov/mesh/D007093
117,http://id.nlm.nih.gov/mesh/D007093,http://id.nlm.nih.gov/mesh/D048289
118,http://id.nlm.nih.gov/mesh/D048289,http://id.nlm.nih.gov/mesh/D005031
119,http://id.nlm.nih.gov/mesh/D006571,http://id.nlm.nih.gov/mesh/D000072471
120,http://id.nlm.nih.gov/mesh/D000072471,http://id.nlm.nih.gov/mesh/D006574
121,http://id.nlm.nih.gov/mesh/D006574,http://id.nlm.nih.gov/mesh/D011804
122,http://id.nlm.nih.gov/mesh/D011804,http://id.nlm.nih.gov/mesh/D015363
123,http://id.nlm.nih.gov/mesh/D015363,http://id.nlm.nih.gov/mesh/D024841
