,parent,child
0,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
1,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
2,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
3,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
4,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D004958
5,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
6,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
7,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
8,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
9,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D004970
10,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
11,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D000305
12,http://id.nlm.nih.gov/mesh/D000305,http://id.nlm.nih.gov/mesh/D015068
13,http://id.nlm.nih.gov/mesh/D015068,http://id.nlm.nih.gov/mesh/D004970
14,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
15,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D007447
16,http://id.nlm.nih.gov/mesh/D007447,http://id.nlm.nih.gov/mesh/D007301
17,http://id.nlm.nih.gov/mesh/D007301,http://id.nlm.nih.gov/mesh/D007605
18,http://id.nlm.nih.gov/mesh/D007605,http://id.nlm.nih.gov/mesh/D008726
19,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
20,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
21,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
22,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045167
23,http://id.nlm.nih.gov/mesh/D045167,http://id.nlm.nih.gov/mesh/D011374
24,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
25,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
26,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D003339
27,http://id.nlm.nih.gov/mesh/D003339,http://id.nlm.nih.gov/mesh/D011374
28,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
29,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
30,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
31,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
32,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D042782
33,http://id.nlm.nih.gov/mesh/D042782,http://id.nlm.nih.gov/mesh/D004997
34,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
35,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D007447
36,http://id.nlm.nih.gov/mesh/D007447,http://id.nlm.nih.gov/mesh/D007301
37,http://id.nlm.nih.gov/mesh/D007301,http://id.nlm.nih.gov/mesh/D007605
38,http://id.nlm.nih.gov/mesh/D007605,http://id.nlm.nih.gov/mesh/D004132
39,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
40,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
41,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
42,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
43,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D004964
