,parent,child
0,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
1,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
2,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
3,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045167
4,http://id.nlm.nih.gov/mesh/D045167,http://id.nlm.nih.gov/mesh/D011374
5,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
6,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
7,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
8,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
9,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D042782
10,http://id.nlm.nih.gov/mesh/D042782,http://id.nlm.nih.gov/mesh/D004997
11,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
12,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
13,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
14,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
15,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D004964
16,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
17,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
18,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
19,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
20,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D004958
21,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
22,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D007447
23,http://id.nlm.nih.gov/mesh/D007447,http://id.nlm.nih.gov/mesh/D007301
24,http://id.nlm.nih.gov/mesh/D007301,http://id.nlm.nih.gov/mesh/D007605
25,http://id.nlm.nih.gov/mesh/D007605,http://id.nlm.nih.gov/mesh/D008726
26,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
27,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D042341
28,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D012739
29,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D045166
30,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D004970
31,http://id.nlm.nih.gov/mesh/D006730,http://id.nlm.nih.gov/mesh/D006728
32,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D007447
33,http://id.nlm.nih.gov/mesh/D007447,http://id.nlm.nih.gov/mesh/D007301
34,http://id.nlm.nih.gov/mesh/D007301,http://id.nlm.nih.gov/mesh/D007605
35,http://id.nlm.nih.gov/mesh/D007605,http://id.nlm.nih.gov/mesh/D004132
