,parent,child
0,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D004573
1,http://id.nlm.nih.gov/mesh/D004573,http://id.nlm.nih.gov/mesh/D007477
2,http://id.nlm.nih.gov/mesh/D007477,http://id.nlm.nih.gov/mesh/D000838
3,http://id.nlm.nih.gov/mesh/D000838,http://id.nlm.nih.gov/mesh/D010087
4,http://id.nlm.nih.gov/mesh/D010087,http://id.nlm.nih.gov/mesh/D010545
5,http://id.nlm.nih.gov/mesh/D010545,http://id.nlm.nih.gov/mesh/D020122
6,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017672
7,http://id.nlm.nih.gov/mesh/D017672,http://id.nlm.nih.gov/mesh/D000641
8,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017601
9,http://id.nlm.nih.gov/mesh/D017601,http://id.nlm.nih.gov/mesh/D010087
10,http://id.nlm.nih.gov/mesh/D010087,http://id.nlm.nih.gov/mesh/D006997
11,http://id.nlm.nih.gov/mesh/D006997,http://id.nlm.nih.gov/mesh/D012973
12,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017606
13,http://id.nlm.nih.gov/mesh/D017606,http://id.nlm.nih.gov/mesh/D006851
14,http://id.nlm.nih.gov/mesh/D006851,http://id.nlm.nih.gov/mesh/D002712
15,http://id.nlm.nih.gov/mesh/D002712,http://id.nlm.nih.gov/mesh/D002122
16,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017601
17,http://id.nlm.nih.gov/mesh/D017601,http://id.nlm.nih.gov/mesh/D010087
18,http://id.nlm.nih.gov/mesh/D010087,http://id.nlm.nih.gov/mesh/D009589
19,http://id.nlm.nih.gov/mesh/D009589,http://id.nlm.nih.gov/mesh/D009585
20,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D013457
21,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D013456
22,http://id.nlm.nih.gov/mesh/D013456,http://id.nlm.nih.gov/mesh/D013464
23,http://id.nlm.nih.gov/mesh/D013464,http://id.nlm.nih.gov/mesh/D013431
24,http://id.nlm.nih.gov/mesh/D013431,http://id.nlm.nih.gov/mesh/D019287
25,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D004573
26,http://id.nlm.nih.gov/mesh/D004573,http://id.nlm.nih.gov/mesh/D007477
27,http://id.nlm.nih.gov/mesh/D007477,http://id.nlm.nih.gov/mesh/D000838
28,http://id.nlm.nih.gov/mesh/D000838,http://id.nlm.nih.gov/mesh/D006878
29,http://id.nlm.nih.gov/mesh/D006878,http://id.nlm.nih.gov/mesh/D002126
30,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D018036
31,http://id.nlm.nih.gov/mesh/D018036,http://id.nlm.nih.gov/mesh/D020887
32,http://id.nlm.nih.gov/mesh/D020887,http://id.nlm.nih.gov/mesh/D018038
33,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D004573
34,http://id.nlm.nih.gov/mesh/D004573,http://id.nlm.nih.gov/mesh/D007477
35,http://id.nlm.nih.gov/mesh/D007477,http://id.nlm.nih.gov/mesh/D000838
36,http://id.nlm.nih.gov/mesh/D000838,http://id.nlm.nih.gov/mesh/D010087
37,http://id.nlm.nih.gov/mesh/D010087,http://id.nlm.nih.gov/mesh/D010545
38,http://id.nlm.nih.gov/mesh/D010545,http://id.nlm.nih.gov/mesh/D006861
39,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017606
40,http://id.nlm.nih.gov/mesh/D017606,http://id.nlm.nih.gov/mesh/D006851
41,http://id.nlm.nih.gov/mesh/D006851,http://id.nlm.nih.gov/mesh/D002712
42,http://id.nlm.nih.gov/mesh/D002712,http://id.nlm.nih.gov/mesh/D012965
43,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017680
44,http://id.nlm.nih.gov/mesh/D017680,http://id.nlm.nih.gov/mesh/D019347
45,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017672
46,http://id.nlm.nih.gov/mesh/D017672,http://id.nlm.nih.gov/mesh/D006856
47,http://id.nlm.nih.gov/mesh/D006856,http://id.nlm.nih.gov/mesh/D003486
48,http://id.nlm.nih.gov/mesh/D003486,http://id.nlm.nih.gov/mesh/D011190
49,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D013457
50,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D013456
51,http://id.nlm.nih.gov/mesh/D013456,http://id.nlm.nih.gov/mesh/D013464
52,http://id.nlm.nih.gov/mesh/D013464,http://id.nlm.nih.gov/mesh/D013431
53,http://id.nlm.nih.gov/mesh/D013431,http://id.nlm.nih.gov/mesh/D002133
54,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017601
55,http://id.nlm.nih.gov/mesh/D017601,http://id.nlm.nih.gov/mesh/D010087
56,http://id.nlm.nih.gov/mesh/D010087,http://id.nlm.nih.gov/mesh/D015034
57,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017895
58,http://id.nlm.nih.gov/mesh/D017895,http://id.nlm.nih.gov/mesh/D011196
59,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017672
60,http://id.nlm.nih.gov/mesh/D017672,http://id.nlm.nih.gov/mesh/D017942
61,http://id.nlm.nih.gov/mesh/D017942,http://id.nlm.nih.gov/mesh/D009566
62,http://id.nlm.nih.gov/mesh/D009566,http://id.nlm.nih.gov/mesh/D012835
63,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017613
64,http://id.nlm.nih.gov/mesh/D017613,http://id.nlm.nih.gov/mesh/D007454
65,http://id.nlm.nih.gov/mesh/D007454,http://id.nlm.nih.gov/mesh/D011193
66,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D013457
67,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D006862
68,http://id.nlm.nih.gov/mesh/D006862,http://id.nlm.nih.gov/mesh/D013440
69,http://id.nlm.nih.gov/mesh/D013440,http://id.nlm.nih.gov/mesh/D002246
70,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D013457
71,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D013456
72,http://id.nlm.nih.gov/mesh/D013456,http://id.nlm.nih.gov/mesh/D013464
73,http://id.nlm.nih.gov/mesh/D013464,http://id.nlm.nih.gov/mesh/D013431
74,http://id.nlm.nih.gov/mesh/D013431,http://id.nlm.nih.gov/mesh/D008278
75,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017606
76,http://id.nlm.nih.gov/mesh/D017606,http://id.nlm.nih.gov/mesh/D006851
77,http://id.nlm.nih.gov/mesh/D006851,http://id.nlm.nih.gov/mesh/D002712
78,http://id.nlm.nih.gov/mesh/D002712,http://id.nlm.nih.gov/mesh/D011189
79,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017606
80,http://id.nlm.nih.gov/mesh/D017606,http://id.nlm.nih.gov/mesh/D006851
81,http://id.nlm.nih.gov/mesh/D006851,http://id.nlm.nih.gov/mesh/D002712
82,http://id.nlm.nih.gov/mesh/D002712,http://id.nlm.nih.gov/mesh/D019256
83,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D013457
84,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D013456
85,http://id.nlm.nih.gov/mesh/D013456,http://id.nlm.nih.gov/mesh/D013464
86,http://id.nlm.nih.gov/mesh/D013464,http://id.nlm.nih.gov/mesh/D013431
87,http://id.nlm.nih.gov/mesh/D013431,http://id.nlm.nih.gov/mesh/D000645
88,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017606
89,http://id.nlm.nih.gov/mesh/D017606,http://id.nlm.nih.gov/mesh/D006851
90,http://id.nlm.nih.gov/mesh/D006851,http://id.nlm.nih.gov/mesh/D002712
91,http://id.nlm.nih.gov/mesh/D002712,http://id.nlm.nih.gov/mesh/D015636
92,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017672
93,http://id.nlm.nih.gov/mesh/D017672,http://id.nlm.nih.gov/mesh/D001386
94,http://id.nlm.nih.gov/mesh/D001386,http://id.nlm.nih.gov/mesh/D019810
95,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D018036
96,http://id.nlm.nih.gov/mesh/D018036,http://id.nlm.nih.gov/mesh/D020887
97,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D018036
98,http://id.nlm.nih.gov/mesh/D018036,http://id.nlm.nih.gov/mesh/D064588
99,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017554
100,http://id.nlm.nih.gov/mesh/D017554,http://id.nlm.nih.gov/mesh/D002255
101,http://id.nlm.nih.gov/mesh/D002255,http://id.nlm.nih.gov/mesh/D002254
102,http://id.nlm.nih.gov/mesh/D002254,http://id.nlm.nih.gov/mesh/D001639
103,http://id.nlm.nih.gov/mesh/D001639,http://id.nlm.nih.gov/mesh/D017693
104,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017606
105,http://id.nlm.nih.gov/mesh/D017606,http://id.nlm.nih.gov/mesh/D006851
106,http://id.nlm.nih.gov/mesh/D006851,http://id.nlm.nih.gov/mesh/D002712
107,http://id.nlm.nih.gov/mesh/D002712,http://id.nlm.nih.gov/mesh/D000643
108,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D000143
109,http://id.nlm.nih.gov/mesh/D000143,http://id.nlm.nih.gov/mesh/D000148
110,http://id.nlm.nih.gov/mesh/D000148,http://id.nlm.nih.gov/mesh/D017942
111,http://id.nlm.nih.gov/mesh/D007287,http://id.nlm.nih.gov/mesh/D017672
112,http://id.nlm.nih.gov/mesh/D017672,http://id.nlm.nih.gov/mesh/D006856
113,http://id.nlm.nih.gov/mesh/D006856,http://id.nlm.nih.gov/mesh/D003486
