,parent,child
0,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
1,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005232
2,http://id.nlm.nih.gov/mesh/D005232,http://id.nlm.nih.gov/mesh/D014631
3,http://id.nlm.nih.gov/mesh/D014631,http://id.nlm.nih.gov/mesh/D010421
4,http://id.nlm.nih.gov/mesh/D010421,http://id.nlm.nih.gov/mesh/D014635
5,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
6,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005232
7,http://id.nlm.nih.gov/mesh/D005232,http://id.nlm.nih.gov/mesh/D002087
8,http://id.nlm.nih.gov/mesh/D002087,http://id.nlm.nih.gov/mesh/D020148
9,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
10,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000441
11,http://id.nlm.nih.gov/mesh/D000441,http://id.nlm.nih.gov/mesh/D003511
12,http://id.nlm.nih.gov/mesh/D003511,http://id.nlm.nih.gov/mesh/D008610
13,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
14,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000440
15,http://id.nlm.nih.gov/mesh/D000440,http://id.nlm.nih.gov/mesh/D020001
16,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
17,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D006538
18,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
19,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005232
20,http://id.nlm.nih.gov/mesh/D005232,http://id.nlm.nih.gov/mesh/D014631
21,http://id.nlm.nih.gov/mesh/D014631,http://id.nlm.nih.gov/mesh/D010421
22,http://id.nlm.nih.gov/mesh/D010421,http://id.nlm.nih.gov/mesh/D015248
23,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
24,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000442
25,http://id.nlm.nih.gov/mesh/D000442,http://id.nlm.nih.gov/mesh/D020003
26,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
27,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D007851
28,http://id.nlm.nih.gov/mesh/D007851,http://id.nlm.nih.gov/mesh/D012967
29,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
30,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000440
31,http://id.nlm.nih.gov/mesh/D000440,http://id.nlm.nih.gov/mesh/D020002
32,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
33,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005231
34,http://id.nlm.nih.gov/mesh/D005231,http://id.nlm.nih.gov/mesh/D005229
35,http://id.nlm.nih.gov/mesh/D005229,http://id.nlm.nih.gov/mesh/D002211
36,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
37,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D019850
