,parent,child
0,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
1,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005232
2,http://id.nlm.nih.gov/mesh/D005232,http://id.nlm.nih.gov/mesh/D014631
3,http://id.nlm.nih.gov/mesh/D014631,http://id.nlm.nih.gov/mesh/D010421
4,http://id.nlm.nih.gov/mesh/D010421,http://id.nlm.nih.gov/mesh/D015248
5,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
6,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D007851
7,http://id.nlm.nih.gov/mesh/D007851,http://id.nlm.nih.gov/mesh/D012967
8,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
9,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005232
10,http://id.nlm.nih.gov/mesh/D005232,http://id.nlm.nih.gov/mesh/D014631
11,http://id.nlm.nih.gov/mesh/D014631,http://id.nlm.nih.gov/mesh/D010421
12,http://id.nlm.nih.gov/mesh/D010421,http://id.nlm.nih.gov/mesh/D014635
13,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
14,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005231
15,http://id.nlm.nih.gov/mesh/D005231,http://id.nlm.nih.gov/mesh/D005229
16,http://id.nlm.nih.gov/mesh/D005229,http://id.nlm.nih.gov/mesh/D002211
17,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
18,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000441
19,http://id.nlm.nih.gov/mesh/D000441,http://id.nlm.nih.gov/mesh/D003511
20,http://id.nlm.nih.gov/mesh/D003511,http://id.nlm.nih.gov/mesh/D008610
21,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
22,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D019850
23,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
24,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000440
25,http://id.nlm.nih.gov/mesh/D000440,http://id.nlm.nih.gov/mesh/D020002
26,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
27,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D005232
28,http://id.nlm.nih.gov/mesh/D005232,http://id.nlm.nih.gov/mesh/D002087
29,http://id.nlm.nih.gov/mesh/D002087,http://id.nlm.nih.gov/mesh/D020148
30,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
31,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000440
32,http://id.nlm.nih.gov/mesh/D000440,http://id.nlm.nih.gov/mesh/D020001
33,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005227
34,http://id.nlm.nih.gov/mesh/D005227,http://id.nlm.nih.gov/mesh/D006538
35,http://id.nlm.nih.gov/mesh/D008055,http://id.nlm.nih.gov/mesh/D005233
36,http://id.nlm.nih.gov/mesh/D005233,http://id.nlm.nih.gov/mesh/D000442
37,http://id.nlm.nih.gov/mesh/D000442,http://id.nlm.nih.gov/mesh/D020003
