,parent,child
0,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
1,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
2,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D000085
3,http://id.nlm.nih.gov/mesh/D000085,http://id.nlm.nih.gov/mesh/D019342
4,http://id.nlm.nih.gov/mesh/D019342,http://id.nlm.nih.gov/mesh/D019345
5,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
6,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
7,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D002219
8,http://id.nlm.nih.gov/mesh/D002219,http://id.nlm.nih.gov/mesh/D014520
9,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000447
10,http://id.nlm.nih.gov/mesh/D000447,http://id.nlm.nih.gov/mesh/D005662
11,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
12,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D006880
13,http://id.nlm.nih.gov/mesh/D006880,http://id.nlm.nih.gov/mesh/D006016
14,http://id.nlm.nih.gov/mesh/D006016,http://id.nlm.nih.gov/mesh/D010642
15,http://id.nlm.nih.gov/mesh/D010642,http://id.nlm.nih.gov/mesh/D015085
16,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
17,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
18,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D000085
19,http://id.nlm.nih.gov/mesh/D000085,http://id.nlm.nih.gov/mesh/D006016
20,http://id.nlm.nih.gov/mesh/D006016,http://id.nlm.nih.gov/mesh/D010642
21,http://id.nlm.nih.gov/mesh/D010642,http://id.nlm.nih.gov/mesh/D015085
22,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000438
23,http://id.nlm.nih.gov/mesh/D000438,http://id.nlm.nih.gov/mesh/D002728
24,http://id.nlm.nih.gov/mesh/D002728,http://id.nlm.nih.gov/mesh/D000517
25,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000438
26,http://id.nlm.nih.gov/mesh/D000438,http://id.nlm.nih.gov/mesh/D006018
27,http://id.nlm.nih.gov/mesh/D006018,http://id.nlm.nih.gov/mesh/D011409
28,http://id.nlm.nih.gov/mesh/D011409,http://id.nlm.nih.gov/mesh/D000517
29,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
30,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
31,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D002219
32,http://id.nlm.nih.gov/mesh/D002219,http://id.nlm.nih.gov/mesh/D000448
33,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
34,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
35,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
36,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D001555
37,http://id.nlm.nih.gov/mesh/D001555,http://id.nlm.nih.gov/mesh/D010636
38,http://id.nlm.nih.gov/mesh/D010636,http://id.nlm.nih.gov/mesh/D002733
39,http://id.nlm.nih.gov/mesh/D002733,http://id.nlm.nih.gov/mesh/D004003
40,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009570
41,http://id.nlm.nih.gov/mesh/D009570,http://id.nlm.nih.gov/mesh/D009763
42,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D007783
43,http://id.nlm.nih.gov/mesh/D007783,http://id.nlm.nih.gov/mesh/D061065
44,http://id.nlm.nih.gov/mesh/D061065,http://id.nlm.nih.gov/mesh/D018942
45,http://id.nlm.nih.gov/mesh/D018942,http://id.nlm.nih.gov/mesh/D004917
46,http://id.nlm.nih.gov/mesh/D004917,http://id.nlm.nih.gov/mesh/D015575
47,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D013457
48,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D013844
49,http://id.nlm.nih.gov/mesh/D013844,http://id.nlm.nih.gov/mesh/D013827
50,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
51,http://id.nlm.nih.gov/mesh/D000588,http://id.nlm.nih.gov/mesh/D002395
52,http://id.nlm.nih.gov/mesh/D002395,http://id.nlm.nih.gov/mesh/D004295
53,http://id.nlm.nih.gov/mesh/D004295,http://id.nlm.nih.gov/mesh/D007980
54,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
55,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
56,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
57,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D001555
