,parent,child
0,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009943
1,http://id.nlm.nih.gov/mesh/D009943,http://id.nlm.nih.gov/mesh/D010755
2,http://id.nlm.nih.gov/mesh/D010755,http://id.nlm.nih.gov/mesh/D004006
3,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009574
4,http://id.nlm.nih.gov/mesh/D009574,http://id.nlm.nih.gov/mesh/D009581
5,http://id.nlm.nih.gov/mesh/D009581,http://id.nlm.nih.gov/mesh/D009583
6,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
7,http://id.nlm.nih.gov/mesh/D000588,http://id.nlm.nih.gov/mesh/D000814
8,http://id.nlm.nih.gov/mesh/D000814,http://id.nlm.nih.gov/mesh/D000813
9,http://id.nlm.nih.gov/mesh/D000813,http://id.nlm.nih.gov/mesh/D005485
10,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000577
11,http://id.nlm.nih.gov/mesh/D000577,http://id.nlm.nih.gov/mesh/D007769
12,http://id.nlm.nih.gov/mesh/D007769,http://id.nlm.nih.gov/mesh/D002209
13,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
14,http://id.nlm.nih.gov/mesh/D000588,http://id.nlm.nih.gov/mesh/D000814
15,http://id.nlm.nih.gov/mesh/D000814,http://id.nlm.nih.gov/mesh/D010128
16,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009603
17,http://id.nlm.nih.gov/mesh/D009603,http://id.nlm.nih.gov/mesh/D009602
18,http://id.nlm.nih.gov/mesh/D009602,http://id.nlm.nih.gov/mesh/D004128
19,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
20,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
21,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D000085
22,http://id.nlm.nih.gov/mesh/D000085,http://id.nlm.nih.gov/mesh/D019342
23,http://id.nlm.nih.gov/mesh/D019342,http://id.nlm.nih.gov/mesh/D019346
24,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D005609
25,http://id.nlm.nih.gov/mesh/D005609,http://id.nlm.nih.gov/mesh/D010545
26,http://id.nlm.nih.gov/mesh/D010545,http://id.nlm.nih.gov/mesh/D020122
27,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000438
28,http://id.nlm.nih.gov/mesh/D000438,http://id.nlm.nih.gov/mesh/D020005
29,http://id.nlm.nih.gov/mesh/D020005,http://id.nlm.nih.gov/mesh/D011412
30,http://id.nlm.nih.gov/mesh/D011412,http://id.nlm.nih.gov/mesh/D050198
31,http://id.nlm.nih.gov/mesh/D050198,http://id.nlm.nih.gov/mesh/D001262
32,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
33,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006846
34,http://id.nlm.nih.gov/mesh/D006846,http://id.nlm.nih.gov/mesh/D006843
35,http://id.nlm.nih.gov/mesh/D006843,http://id.nlm.nih.gov/mesh/D003634
36,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
37,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
38,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D002219
39,http://id.nlm.nih.gov/mesh/D002219,http://id.nlm.nih.gov/mesh/D013859
40,http://id.nlm.nih.gov/mesh/D013859,http://id.nlm.nih.gov/mesh/D005028
41,http://id.nlm.nih.gov/mesh/D005028,http://id.nlm.nih.gov/mesh/D015038
42,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
43,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
44,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
45,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D011084
46,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D005449
47,http://id.nlm.nih.gov/mesh/D005449,http://id.nlm.nih.gov/mesh/D015073
48,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
49,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
50,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
51,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D001555
52,http://id.nlm.nih.gov/mesh/D001555,http://id.nlm.nih.gov/mesh/D010636
53,http://id.nlm.nih.gov/mesh/D010636,http://id.nlm.nih.gov/mesh/D010647
54,http://id.nlm.nih.gov/mesh/D010647,http://id.nlm.nih.gov/mesh/D058607
55,http://id.nlm.nih.gov/mesh/D058607,http://id.nlm.nih.gov/mesh/D015248
56,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000438
57,http://id.nlm.nih.gov/mesh/D000438,http://id.nlm.nih.gov/mesh/D006018
58,http://id.nlm.nih.gov/mesh/D006018,http://id.nlm.nih.gov/mesh/D005026
59,http://id.nlm.nih.gov/mesh/D005026,http://id.nlm.nih.gov/mesh/D019855
60,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
61,http://id.nlm.nih.gov/mesh/D000588,http://id.nlm.nih.gov/mesh/D000814
62,http://id.nlm.nih.gov/mesh/D000814,http://id.nlm.nih.gov/mesh/D000813
63,http://id.nlm.nih.gov/mesh/D000813,http://id.nlm.nih.gov/mesh/D011411
64,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009943
65,http://id.nlm.nih.gov/mesh/D009943,http://id.nlm.nih.gov/mesh/D009946
66,http://id.nlm.nih.gov/mesh/D009946,http://id.nlm.nih.gov/mesh/D063086
67,http://id.nlm.nih.gov/mesh/D063086,http://id.nlm.nih.gov/mesh/D010706
68,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
69,http://id.nlm.nih.gov/mesh/D000588,http://id.nlm.nih.gov/mesh/D011437
70,http://id.nlm.nih.gov/mesh/D011437,http://id.nlm.nih.gov/mesh/D005473
71,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
72,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
73,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
74,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D001555
75,http://id.nlm.nih.gov/mesh/D001555,http://id.nlm.nih.gov/mesh/D001565
76,http://id.nlm.nih.gov/mesh/D001565,http://id.nlm.nih.gov/mesh/D019817
77,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
78,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006846
79,http://id.nlm.nih.gov/mesh/D006846,http://id.nlm.nih.gov/mesh/D006843
80,http://id.nlm.nih.gov/mesh/D006843,http://id.nlm.nih.gov/mesh/D008917
81,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009943
82,http://id.nlm.nih.gov/mesh/D009943,http://id.nlm.nih.gov/mesh/D009946
83,http://id.nlm.nih.gov/mesh/D009946,http://id.nlm.nih.gov/mesh/D063086
84,http://id.nlm.nih.gov/mesh/D063086,http://id.nlm.nih.gov/mesh/D003976
85,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
86,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000146
87,http://id.nlm.nih.gov/mesh/D000146,http://id.nlm.nih.gov/mesh/D010795
88,http://id.nlm.nih.gov/mesh/D010795,http://id.nlm.nih.gov/mesh/D010796
89,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
90,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
91,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
92,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D011084
93,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
94,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D012721
95,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
96,http://id.nlm.nih.gov/mesh/D000588,http://id.nlm.nih.gov/mesh/D006898
97,http://id.nlm.nih.gov/mesh/D006898,http://id.nlm.nih.gov/mesh/D010091
98,http://id.nlm.nih.gov/mesh/D010091,http://id.nlm.nih.gov/mesh/D016666
99,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
100,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
101,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
102,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D011084
103,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
104,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
105,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D004318
106,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009574
107,http://id.nlm.nih.gov/mesh/D009574,http://id.nlm.nih.gov/mesh/D005996
108,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
109,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
110,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
111,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D001555
112,http://id.nlm.nih.gov/mesh/D001555,http://id.nlm.nih.gov/mesh/D010636
113,http://id.nlm.nih.gov/mesh/D010636,http://id.nlm.nih.gov/mesh/D002396
114,http://id.nlm.nih.gov/mesh/D002396,http://id.nlm.nih.gov/mesh/D002395
115,http://id.nlm.nih.gov/mesh/D002395,http://id.nlm.nih.gov/mesh/D004295
116,http://id.nlm.nih.gov/mesh/D004295,http://id.nlm.nih.gov/mesh/D007980
117,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
118,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006846
119,http://id.nlm.nih.gov/mesh/D006846,http://id.nlm.nih.gov/mesh/D006843
120,http://id.nlm.nih.gov/mesh/D006843,http://id.nlm.nih.gov/mesh/D000452
121,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
122,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
123,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
124,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D011084
125,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
126,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
127,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D002751
128,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
129,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
130,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D005561
131,http://id.nlm.nih.gov/mesh/D005561,http://id.nlm.nih.gov/mesh/D005559
132,http://id.nlm.nih.gov/mesh/D005559,http://id.nlm.nih.gov/mesh/D004126
133,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009942
134,http://id.nlm.nih.gov/mesh/D009942,http://id.nlm.nih.gov/mesh/D013756
135,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D013457
136,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D013456
137,http://id.nlm.nih.gov/mesh/D013456,http://id.nlm.nih.gov/mesh/D013451
138,http://id.nlm.nih.gov/mesh/D013451,http://id.nlm.nih.gov/mesh/D017738
139,http://id.nlm.nih.gov/mesh/D017738,http://id.nlm.nih.gov/mesh/D000476
140,http://id.nlm.nih.gov/mesh/D000476,http://id.nlm.nih.gov/mesh/D012967
141,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009943
142,http://id.nlm.nih.gov/mesh/D009943,http://id.nlm.nih.gov/mesh/D063065
143,http://id.nlm.nih.gov/mesh/D063065,http://id.nlm.nih.gov/mesh/D063066
144,http://id.nlm.nih.gov/mesh/D063066,http://id.nlm.nih.gov/mesh/D012524
145,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
146,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
147,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D002219
148,http://id.nlm.nih.gov/mesh/D002219,http://id.nlm.nih.gov/mesh/D013859
149,http://id.nlm.nih.gov/mesh/D013859,http://id.nlm.nih.gov/mesh/D004125
150,http://id.nlm.nih.gov/mesh/D004125,http://id.nlm.nih.gov/mesh/D013893
151,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000438
152,http://id.nlm.nih.gov/mesh/D000438,http://id.nlm.nih.gov/mesh/D000432
153,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
154,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
155,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D002219
156,http://id.nlm.nih.gov/mesh/D002219,http://id.nlm.nih.gov/mesh/D014520
157,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D002264
158,http://id.nlm.nih.gov/mesh/D002264,http://id.nlm.nih.gov/mesh/D000144
159,http://id.nlm.nih.gov/mesh/D000144,http://id.nlm.nih.gov/mesh/D002219
160,http://id.nlm.nih.gov/mesh/D002219,http://id.nlm.nih.gov/mesh/D048448
161,http://id.nlm.nih.gov/mesh/D048448,http://id.nlm.nih.gov/mesh/D001074
162,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D013457
163,http://id.nlm.nih.gov/mesh/D013457,http://id.nlm.nih.gov/mesh/D009946
164,http://id.nlm.nih.gov/mesh/D009946,http://id.nlm.nih.gov/mesh/D063086
165,http://id.nlm.nih.gov/mesh/D063086,http://id.nlm.nih.gov/mesh/D004222
166,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D006838
167,http://id.nlm.nih.gov/mesh/D006838,http://id.nlm.nih.gov/mesh/D006844
168,http://id.nlm.nih.gov/mesh/D006844,http://id.nlm.nih.gov/mesh/D006841
169,http://id.nlm.nih.gov/mesh/D006841,http://id.nlm.nih.gov/mesh/D001555
170,http://id.nlm.nih.gov/mesh/D001555,http://id.nlm.nih.gov/mesh/D001597
171,http://id.nlm.nih.gov/mesh/D001597,http://id.nlm.nih.gov/mesh/D013343
172,http://id.nlm.nih.gov/mesh/D013343,http://id.nlm.nih.gov/mesh/D020058
173,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D009943
174,http://id.nlm.nih.gov/mesh/D009943,http://id.nlm.nih.gov/mesh/D009946
175,http://id.nlm.nih.gov/mesh/D009946,http://id.nlm.nih.gov/mesh/D063085
176,http://id.nlm.nih.gov/mesh/D063085,http://id.nlm.nih.gov/mesh/D010773
177,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000577
178,http://id.nlm.nih.gov/mesh/D000577,http://id.nlm.nih.gov/mesh/D007769
179,http://id.nlm.nih.gov/mesh/D007769,http://id.nlm.nih.gov/mesh/D047090
180,http://id.nlm.nih.gov/mesh/D047090,http://id.nlm.nih.gov/mesh/D010406
181,http://id.nlm.nih.gov/mesh/D010406,http://id.nlm.nih.gov/mesh/D010400
182,http://id.nlm.nih.gov/mesh/D010400,http://id.nlm.nih.gov/mesh/D000667
183,http://id.nlm.nih.gov/mesh/D009930,http://id.nlm.nih.gov/mesh/D000588
