,parent,child
0,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
1,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
2,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D015057
3,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
4,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D001551
5,http://id.nlm.nih.gov/mesh/D001551,http://id.nlm.nih.gov/mesh/D015127
6,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
7,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
8,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D004962
9,http://id.nlm.nih.gov/mesh/D004962,http://id.nlm.nih.gov/mesh/D004963
10,http://id.nlm.nih.gov/mesh/D004963,http://id.nlm.nih.gov/mesh/D004958
11,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D013141
12,http://id.nlm.nih.gov/mesh/D013141,http://id.nlm.nih.gov/mesh/D005452
13,http://id.nlm.nih.gov/mesh/D005452,http://id.nlm.nih.gov/mesh/D004801
14,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
15,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
16,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009282
17,http://id.nlm.nih.gov/mesh/D009282,http://id.nlm.nih.gov/mesh/D003224
18,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
19,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
20,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D012721
21,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
22,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
23,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D004962
24,http://id.nlm.nih.gov/mesh/D004962,http://id.nlm.nih.gov/mesh/D004963
25,http://id.nlm.nih.gov/mesh/D004963,http://id.nlm.nih.gov/mesh/D004970
26,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
27,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
28,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D007664
29,http://id.nlm.nih.gov/mesh/D007664,http://id.nlm.nih.gov/mesh/D015068
30,http://id.nlm.nih.gov/mesh/D015068,http://id.nlm.nih.gov/mesh/D004970
31,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
32,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
33,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009282
34,http://id.nlm.nih.gov/mesh/D009282,http://id.nlm.nih.gov/mesh/D014343
35,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
36,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D005449
37,http://id.nlm.nih.gov/mesh/D005449,http://id.nlm.nih.gov/mesh/D015073
38,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
39,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D010616
40,http://id.nlm.nih.gov/mesh/D010616,http://id.nlm.nih.gov/mesh/D002911
41,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
42,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
43,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D008148
44,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D047028
45,http://id.nlm.nih.gov/mesh/D047028,http://id.nlm.nih.gov/mesh/D047029
46,http://id.nlm.nih.gov/mesh/D047029,http://id.nlm.nih.gov/mesh/D012294
47,http://id.nlm.nih.gov/mesh/D012294,http://id.nlm.nih.gov/mesh/D012293
48,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
49,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D011721
50,http://id.nlm.nih.gov/mesh/D011721,http://id.nlm.nih.gov/mesh/D001580
51,http://id.nlm.nih.gov/mesh/D001580,http://id.nlm.nih.gov/mesh/D001564
52,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
53,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
54,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D011278
55,http://id.nlm.nih.gov/mesh/D011278,http://id.nlm.nih.gov/mesh/D011283
56,http://id.nlm.nih.gov/mesh/D011283,http://id.nlm.nih.gov/mesh/D011282
57,http://id.nlm.nih.gov/mesh/D011282,http://id.nlm.nih.gov/mesh/D011374
58,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
59,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
60,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009280
61,http://id.nlm.nih.gov/mesh/D009280,http://id.nlm.nih.gov/mesh/D009288
62,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
63,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
64,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D015057
65,http://id.nlm.nih.gov/mesh/D015057,http://id.nlm.nih.gov/mesh/D020280
66,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
67,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
68,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
69,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D004318
70,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
71,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
72,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
73,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D002751
74,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
75,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
76,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D008148
77,http://id.nlm.nih.gov/mesh/D008148,http://id.nlm.nih.gov/mesh/D019821
78,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
79,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
80,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
81,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D010118
82,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
83,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
84,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D009654
85,http://id.nlm.nih.gov/mesh/D009654,http://id.nlm.nih.gov/mesh/D009650
86,http://id.nlm.nih.gov/mesh/D009650,http://id.nlm.nih.gov/mesh/D009651
87,http://id.nlm.nih.gov/mesh/D009651,http://id.nlm.nih.gov/mesh/D004997
88,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
89,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D001551
90,http://id.nlm.nih.gov/mesh/D001551,http://id.nlm.nih.gov/mesh/D008748
91,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
92,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
93,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D000073
94,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
95,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
96,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009282
97,http://id.nlm.nih.gov/mesh/D009282,http://id.nlm.nih.gov/mesh/D005070
98,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
99,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
100,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
101,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D013752
102,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
103,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
104,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D004962
105,http://id.nlm.nih.gov/mesh/D004962,http://id.nlm.nih.gov/mesh/D004963
106,http://id.nlm.nih.gov/mesh/D004963,http://id.nlm.nih.gov/mesh/D004964
