,parent,child
0,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
1,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D005449
2,http://id.nlm.nih.gov/mesh/D005449,http://id.nlm.nih.gov/mesh/D015073
3,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
4,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
5,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D012721
6,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
7,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
8,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D011278
9,http://id.nlm.nih.gov/mesh/D011278,http://id.nlm.nih.gov/mesh/D011283
10,http://id.nlm.nih.gov/mesh/D011283,http://id.nlm.nih.gov/mesh/D011282
11,http://id.nlm.nih.gov/mesh/D011282,http://id.nlm.nih.gov/mesh/D011374
12,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
13,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
14,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
15,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D004318
16,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
17,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
18,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
19,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D002751
20,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
21,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
22,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D009654
23,http://id.nlm.nih.gov/mesh/D009654,http://id.nlm.nih.gov/mesh/D009650
24,http://id.nlm.nih.gov/mesh/D009650,http://id.nlm.nih.gov/mesh/D009651
25,http://id.nlm.nih.gov/mesh/D009651,http://id.nlm.nih.gov/mesh/D004997
26,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
27,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
28,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009280
29,http://id.nlm.nih.gov/mesh/D009280,http://id.nlm.nih.gov/mesh/D009288
30,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
31,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
32,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D008148
33,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
34,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D010616
35,http://id.nlm.nih.gov/mesh/D010616,http://id.nlm.nih.gov/mesh/D002911
36,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
37,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
38,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D015057
39,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
40,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
41,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D004962
42,http://id.nlm.nih.gov/mesh/D004962,http://id.nlm.nih.gov/mesh/D004963
43,http://id.nlm.nih.gov/mesh/D004963,http://id.nlm.nih.gov/mesh/D004964
44,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
45,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D001551
46,http://id.nlm.nih.gov/mesh/D001551,http://id.nlm.nih.gov/mesh/D015127
47,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
48,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D011721
49,http://id.nlm.nih.gov/mesh/D011721,http://id.nlm.nih.gov/mesh/D001580
50,http://id.nlm.nih.gov/mesh/D001580,http://id.nlm.nih.gov/mesh/D001564
51,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
52,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
53,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
54,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D013752
55,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
56,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
57,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D004962
58,http://id.nlm.nih.gov/mesh/D004962,http://id.nlm.nih.gov/mesh/D004963
59,http://id.nlm.nih.gov/mesh/D004963,http://id.nlm.nih.gov/mesh/D004958
60,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
61,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
62,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009282
63,http://id.nlm.nih.gov/mesh/D009282,http://id.nlm.nih.gov/mesh/D003224
64,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
65,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
66,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D000073
67,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
68,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
69,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D015057
70,http://id.nlm.nih.gov/mesh/D015057,http://id.nlm.nih.gov/mesh/D020280
71,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D013141
72,http://id.nlm.nih.gov/mesh/D013141,http://id.nlm.nih.gov/mesh/D005452
73,http://id.nlm.nih.gov/mesh/D005452,http://id.nlm.nih.gov/mesh/D004801
74,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
75,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D001551
76,http://id.nlm.nih.gov/mesh/D001551,http://id.nlm.nih.gov/mesh/D008748
77,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
78,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
79,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009282
80,http://id.nlm.nih.gov/mesh/D009282,http://id.nlm.nih.gov/mesh/D014343
81,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D047028
82,http://id.nlm.nih.gov/mesh/D047028,http://id.nlm.nih.gov/mesh/D047029
83,http://id.nlm.nih.gov/mesh/D047029,http://id.nlm.nih.gov/mesh/D012294
84,http://id.nlm.nih.gov/mesh/D012294,http://id.nlm.nih.gov/mesh/D012293
85,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D000072473
86,http://id.nlm.nih.gov/mesh/D000072473,http://id.nlm.nih.gov/mesh/D013256
87,http://id.nlm.nih.gov/mesh/D013256,http://id.nlm.nih.gov/mesh/D004962
88,http://id.nlm.nih.gov/mesh/D004962,http://id.nlm.nih.gov/mesh/D004963
89,http://id.nlm.nih.gov/mesh/D004963,http://id.nlm.nih.gov/mesh/D004970
90,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
91,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009279
92,http://id.nlm.nih.gov/mesh/D009279,http://id.nlm.nih.gov/mesh/D013754
93,http://id.nlm.nih.gov/mesh/D013754,http://id.nlm.nih.gov/mesh/D010118
94,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
95,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
96,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D009282
97,http://id.nlm.nih.gov/mesh/D009282,http://id.nlm.nih.gov/mesh/D005070
98,http://id.nlm.nih.gov/mesh/D011083,http://id.nlm.nih.gov/mesh/D011084
99,http://id.nlm.nih.gov/mesh/D011084,http://id.nlm.nih.gov/mesh/D009281
100,http://id.nlm.nih.gov/mesh/D009281,http://id.nlm.nih.gov/mesh/D008148
101,http://id.nlm.nih.gov/mesh/D008148,http://id.nlm.nih.gov/mesh/D019821
