,subject,predicate,object
0,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/29979,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
1,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/270330,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/13105
2,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/84385,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
3,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/356314,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
4,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/50791,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
5,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/49233,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
6,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/297831,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/163151
7,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6159,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/166126
8,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7419,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/2079927
9,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/110811,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
10,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/257539,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
11,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/399988,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/399987
12,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/55452,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/26319
13,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/37850,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
14,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/181491,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/126180
15,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6341,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6340
16,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1732206,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
17,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/31089,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1489343
18,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/523164,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
19,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/293655,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6696
20,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/2857,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
21,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/2172532,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
22,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/43956,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
23,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/44486,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/44485
24,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/52382,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
25,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/684779,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/150265
